기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20241,U,관광특구,3001491,이태원 관광특구,CS100007,치킨전문점,7,8,0,0,13,1,1
20241,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100007,치킨전문점,10,26,0,0,4,1,16
20241,U,관광특구,3001493,동대문패션타운 관광특구,CS100007,치킨전문점,5,15,7,1,0,0,10
20241,U,관광특구,3001494,종로?청계 관광특구,CS100007,치킨전문점,15,26,4,1,4,1,11
20241,U,관광특구,3001495,잠실 관광특구,CS100007,치킨전문점,6,24,0,0,0,0,18
20241,U,관광특구,3001496,강남 마이스 관광특구,CS100007,치킨전문점,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS100007,치킨전문점,2,3,0,0,0,0,1
20241,A,골목상권,3110004,대신고등학교,CS100007,치킨전문점,0,3,67,2,0,0,3
20241,A,골목상권,3110005,세검정,CS100007,치킨전문점,0,1,0,0,0,0,1
20241,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100007,치킨전문점,2,3,0,0,0,0,1
20241,A,골목상권,3110009,자하문터널,CS100007,치킨전문점,1,1,0,0,0,0,0
20241,A,골목상권,3110018,중앙고등학교,CS100007,치킨전문점,0,1,0,0,0,0,1
20241,A,골목상권,3110020,서울국제고등학교,CS100007,치킨전문점,2,4,0,0,0,0,2
20241,A,골목상권,3110021,성균관대학교,CS100007,치킨전문점,2,5,0,0,0,0,3
20241,A,골목상권,3110028,이화달팽이길,CS100007,치킨전문점,2,2,0,0,0,0,0
20241,A,골목상권,3110029,동대문역 1번,CS100007,치킨전문점,1,3,0,0,0,0,2
20241,A,골목상권,3110031,창신역 1번,CS100007,치킨전문점,1,3,0,0,0,0,2
20241,A,골목상권,3110033,창신역 4번,CS100007,치킨전문점,1,2,0,0,0,0,1
20241,A,골목상권,3110035,동묘앞역 2번,CS100007,치킨전문점,2,4,0,0,0,0,2
20241,A,골목상권,3110037,신설동역 12번,CS100007,치킨전문점,1,3,0,0,67,2,2
20241,A,골목상권,3110038,경향신문사,CS100007,치킨전문점,1,1,0,0,0,0,0
20241,A,골목상권,3110039,회현역 1번,CS100007,치킨전문점,0,1,0,0,0,0,1
20241,A,골목상권,3110045,동대문역사문화공원역 5번,CS100007,치킨전문점,2,2,0,0,0,0,0
20241,A,골목상권,3110051,한양공고앞 교차로,CS100007,치킨전문점,1,1,0,0,0,0,0
20241,A,골목상권,3110052,장충초등학교,CS100007,치킨전문점,0,1,0,0,0,0,1
20241,A,골목상권,3110053,청구역 1번,CS100007,치킨전문점,0,0,0,0,0,1,0
